Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
1,1000,MergeSort,2,8729,true
1,1000,HybridMergeSort,0,8710,true
1,2000,MergeSort,1,19403,true
1,2000,HybridMergeSort,0,19410,true
1,3000,MergeSort,1,30918,true
1,3000,HybridMergeSort,1,30890,true
1,4000,MergeSort,1,42867,true
1,4000,HybridMergeSort,1,42841,true
1,5000,MergeSort,2,55335,true
1,5000,HybridMergeSort,2,55287,true
1,10000,MergeSort,13,120391,true
1,10000,HybridMergeSort,5,120457,true
1,20000,MergeSort,8,260938,true
1,20000,HybridMergeSort,5,260887,true
1,30000,MergeSort,11,408543,true
1,30000,HybridMergeSort,7,408648,true
1,40000,MergeSort,13,561494,true
1,40000,HybridMergeSort,15,561766,true
1,50000,MergeSort,15,718134,true
1,50000,HybridMergeSort,10,718231,true
1,100000,MergeSort,23,1536285,true
1,100000,HybridMergeSort,26,1536041,true
1,500000,MergeSort,122,8837800,true
1,500000,HybridMergeSort,111,8837931,true
1,1000000,MergeSort,240,18674114,true
1,1000000,HybridMergeSort,195,18674832,true
1,1500000,MergeSort,304,28910993,true
1,1500000,HybridMergeSort,300,28910218,true
1,2000000,MergeSort,386,39348279,true
1,2000000,HybridMergeSort,373,39347700,true
1,2500000,MergeSort,519,50024195,true
1,2500000,HybridMergeSort,491,50025251,true
1,5000000,MergeSort,1161,105050016,true
1,5000000,HybridMergeSort,1046,105047852,true
1,7500000,MergeSort,1675,161907156,true
1,7500000,HybridMergeSort,1594,161906393,true
1,10000000,MergeSort,2410,220099962,true
1,10000000,HybridMergeSort,2244,220097558,true
5,1000,MergeSort,0,8701,true
5,1000,HybridMergeSort,0,8779,true
5,2000,MergeSort,0,19421,true
5,2000,HybridMergeSort,0,19511,true
5,3000,MergeSort,0,30956,true
5,3000,HybridMergeSort,0,31488,true
5,4000,MergeSort,0,42770,true
5,4000,HybridMergeSort,1,43028,true
5,5000,MergeSort,0,55240,true
5,5000,HybridMergeSort,2,55755,true
5,10000,MergeSort,2,120447,true
5,10000,HybridMergeSort,1,121524,true
5,20000,MergeSort,3,260985,true
5,20000,HybridMergeSort,2,262920,true
5,30000,MergeSort,5,408722,true
5,30000,HybridMergeSort,5,410057,true
5,40000,MergeSort,7,561884,true
5,40000,HybridMergeSort,6,565980,true
5,50000,MergeSort,11,718018,true
5,50000,HybridMergeSort,8,726963,true
5,100000,MergeSort,21,1536466,true
5,100000,HybridMergeSort,16,1554180,true
5,500000,MergeSort,103,8837103,true
5,500000,HybridMergeSort,87,8864670,true
5,1000000,MergeSort,201,18674913,true
5,1000000,HybridMergeSort,172,18729031,true
5,1500000,MergeSort,312,28909506,true
5,1500000,HybridMergeSort,253,29180951,true
5,2000000,MergeSort,408,39350306,true
5,2000000,HybridMergeSort,341,39456177,true
5,2500000,MergeSort,502,50024203,true
5,2500000,HybridMergeSort,461,50275493,true
5,5000000,MergeSort,1093,105048706,true
5,5000000,HybridMergeSort,919,105549488,true
5,7500000,MergeSort,1608,161907291,true
5,7500000,HybridMergeSort,1458,162208168,true
5,10000000,MergeSort,2200,220104290,true
5,10000000,HybridMergeSort,1939,221111694,true
8,1000,MergeSort,0,8729,true
8,1000,HybridMergeSort,0,9132,true
8,2000,MergeSort,0,19386,true
8,2000,HybridMergeSort,0,20105,true
8,3000,MergeSort,0,30948,true
8,3000,HybridMergeSort,0,31520,true
8,4000,MergeSort,0,42768,true
8,4000,HybridMergeSort,1,44461,true
8,5000,MergeSort,0,55240,true
8,5000,HybridMergeSort,1,56334,true
8,10000,MergeSort,2,120392,true
8,10000,HybridMergeSort,1,122482,true
8,20000,MergeSort,3,260953,true
8,20000,HybridMergeSort,2,265218,true
8,30000,MergeSort,5,408717,true
8,30000,HybridMergeSort,4,419317,true
8,40000,MergeSort,7,561856,true
8,40000,HybridMergeSort,5,570096,true
8,50000,MergeSort,8,717998,true
8,50000,HybridMergeSort,7,729014,true
8,100000,MergeSort,23,1536566,true
8,100000,HybridMergeSort,12,1558242,true
8,500000,MergeSort,96,8837028,true
8,500000,HybridMergeSort,79,9034677,true
8,1000000,MergeSort,214,18674908,true
8,1000000,HybridMergeSort,193,19074072,true
8,1500000,MergeSort,353,28909758,true
8,1500000,HybridMergeSort,286,29180427,true
8,2000000,MergeSort,397,39348041,true
8,2000000,HybridMergeSort,386,40145598,true
8,2500000,MergeSort,546,50025824,true
8,2500000,HybridMergeSort,504,50789491,true
8,5000000,MergeSort,1325,105049701,true
8,5000000,HybridMergeSort,964,106575675,true
8,7500000,MergeSort,2030,161908802,true
8,7500000,HybridMergeSort,1568,164405287,true
8,10000000,MergeSort,3194,220101370,true
8,10000000,HybridMergeSort,2107,223159314,true
10,1000,MergeSort,0,8705,true
10,1000,HybridMergeSort,0,9132,true
10,2000,MergeSort,1,19429,true
10,2000,HybridMergeSort,0,20263,true
10,3000,MergeSort,0,30908,true
10,3000,HybridMergeSort,1,32055,true
10,4000,MergeSort,0,42790,true
10,4000,HybridMergeSort,0,44361,true
10,5000,MergeSort,0,55186,true
10,5000,HybridMergeSort,0,58601,true
10,10000,MergeSort,2,120477,true
10,10000,HybridMergeSort,1,126997,true
10,20000,MergeSort,3,260880,true
10,20000,HybridMergeSort,2,274473,true
10,30000,MergeSort,5,408376,true
10,30000,HybridMergeSort,6,419305,true
10,40000,MergeSort,8,561793,true
10,40000,HybridMergeSort,5,588029,true
10,50000,MergeSort,9,718095,true
10,50000,HybridMergeSort,8,728776,true
10,100000,MergeSort,21,1536464,true
10,100000,HybridMergeSort,17,1557987,true
10,500000,MergeSort,88,8836884,true
10,500000,HybridMergeSort,79,9037057,true
10,1000000,MergeSort,198,18673411,true
10,1000000,HybridMergeSort,170,19074755,true
10,1500000,MergeSort,352,28910493,true
10,1500000,HybridMergeSort,283,29719353,true
10,2000000,MergeSort,421,39347961,true
10,2000000,HybridMergeSort,369,40144823,true
10,2500000,MergeSort,557,50023781,true
10,2500000,HybridMergeSort,506,51607325,true
10,5000000,MergeSort,1760,105048761,true
10,5000000,HybridMergeSort,1009,108202599,true
10,7500000,MergeSort,1922,161906805,true
10,7500000,HybridMergeSort,1456,164404419,true
10,10000000,MergeSort,2414,220100452,true
10,10000000,HybridMergeSort,1836,226421089,true
15,1000,MergeSort,0,8709,true
15,1000,HybridMergeSort,0,10306,true
15,2000,MergeSort,1,19417,true
15,2000,HybridMergeSort,0,22886,true
15,3000,MergeSort,0,30904,true
15,3000,HybridMergeSort,1,33508,true
15,4000,MergeSort,0,42834,true
15,4000,HybridMergeSort,1,49296,true
15,5000,MergeSort,1,55318,true
15,5000,HybridMergeSort,0,58545,true
15,10000,MergeSort,2,120422,true
15,10000,HybridMergeSort,0,127205,true
15,20000,MergeSort,3,260998,true
15,20000,HybridMergeSort,2,274358,true
15,30000,MergeSort,5,408690,true
15,30000,HybridMergeSort,4,452004,true
15,40000,MergeSort,6,561720,true
15,40000,HybridMergeSort,5,588378,true
15,50000,MergeSort,9,718066,true
15,50000,HybridMergeSort,6,769610,true
15,100000,MergeSort,15,1536241,true
15,100000,HybridMergeSort,12,1638329,true
15,500000,MergeSort,97,8837366,true
15,500000,HybridMergeSort,69,9608772,true
15,1000000,MergeSort,199,18674938,true
15,1000000,HybridMergeSort,155,20222937,true
15,1500000,MergeSort,317,28909427,true
15,1500000,HybridMergeSort,236,30274585,true
