Vertices,Edges,Time Array (Method 1),Time Array (Method 2)
523,522,50891,6480
898,897,13027,920
145,144,1759,1239
255,254,880,363
445,444,1362,351
448,447,1690,478
786,785,4135,941
207,206,9211,8882
711,710,4911,1164
93,92,1963,2045
543,542,1724,545
940,939,5116,642
112,111,801,275
906,905,4826,607
162,161,597,221
662,661,4600,677
489,488,41356,15294
472,471,1851,534
91,90,685,580
939,938,32376,4200
836,835,12594,1713
696,695,18025,3217
414,413,47010,6896
79,78,2754,1118
781,780,2420,376
943,942,4009,471
395,394,3508,367
711,710,24973,1351
94,93,460,195
144,143,1088,236
686,685,6878,559
889,888,2137,307
987,986,63890,2589
170,169,1502,282
753,752,1795,251
908,907,1957,245
641,640,8067,586
980,979,3724,371
112,111,378,131
751,750,176517,20063
716,715,1593,224
204,203,815,171
76,75,278,114
811,810,1612,215
404,403,834,133
402,401,1252,178
452,451,7145,581
804,803,1563,213
40,39,244,161
415,414,5461,546
863,862,1605,227
896,895,2886,358
597,596,1545,265
789,788,76900,4686
244,243,10420,1567
137,136,2471,434
250,249,699,162
919,918,45943,1964
806,805,1547,230
928,927,1694,234
721,720,1317,199
860,859,3620,338
991,990,62559,2635
91,90,4794,1313
711,710,2224,233
134,133,2771,561
712,711,109159,5861
642,641,5008,381
174,173,761,142
611,610,1580,194
465,464,3497,314
910,909,2141,245
465,464,1164,169
279,278,80126,11720
144,143,948,422
879,878,13828,1669
198,197,729,223
923,922,28401,2603
476,475,2089,184
581,580,1853,254
816,815,15240,872
78,77,517,147
858,857,1728,194
201,200,444,84
354,353,741,110
647,646,1414,165
35,34,286,164
911,910,28911,1276
330,329,1261,152
519,518,3388,337
387,386,6118,481
388,387,47018,3924
9,8,103,122
539,538,1834,156
923,922,6401,516
817,816,1532,194
371,370,26543,2116
205,204,1081,143
175,174,1493,248
32,31,159,89
773,772,8719,592
75,74,370,110
30,29,242,178
452,451,946,115
164,163,2796,439
866,865,4366,374
221,220,858,151
111,110,273,74
533,532,1887,179
806,805,400255,23178
267,266,5328,597
296,295,13872,1792
766,765,1319,172
971,970,1457,167
902,901,9773,677
180,179,316,64
203,202,355,77
828,827,147549,20111
527,526,1298,133
518,517,7779,603
312,311,834,116
735,734,1969,184
934,933,3492,281
29,28,109,66
915,914,38659,1615
219,218,19084,2832
362,361,4236,390
646,645,1344,181
323,322,662,105
342,341,1122,142
809,808,3553,296
694,693,1438,205
106,105,1621,397
6,5,62,61
956,955,5491,512
688,687,17147,1075
370,369,746,112
466,465,852,130
969,968,48888,2399
965,964,3770,371
551,550,5118,356
943,942,35266,1586
183,182,1219,220
391,390,663,103
69,68,134,53
506,505,1313,136
763,762,150145,10610
885,884,3717,305
197,196,397,87
14,13,155,144
886,885,1562,194
