Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
197,196,30874,5190,0.010152,155236,2352
926,925,20191,4942,0.002160,3429904,11100
258,257,30843,14631,0.007752,266256,3084
783,782,2447,503,0.002554,2452356,9384
857,856,18603,2380,0.002334,2937796,10272
84,83,685,648,0.023810,28224,996
788,787,6114,1084,0.002538,2483776,9444
103,102,2017,1517,0.019417,42436,1224
438,437,139088,22683,0.004566,767376,5244
46,45,609,559,0.043478,8464,540
676,675,4036,802,0.002959,1827904,8100
522,521,1814,394,0.003831,1089936,6252
942,941,2604,481,0.002123,3549456,11292
27,26,949,1551,0.074074,2916,312
287,286,1573,515,0.006969,329476,3432
974,973,416117,36821,0.002053,3794704,11676
131,130,4451,1166,0.015267,68644,1560
110,109,339,139,0.018182,48400,1308
550,549,16570,1334,0.003636,1210000,6588
821,820,1368,195,0.002436,2696164,9840
555,554,912,153,0.003604,1232100,6648
651,650,3230,303,0.003072,1695204,7800
994,993,2534,288,0.002012,3952144,11916
820,819,2000,230,0.002439,2689600,9828
537,536,43323,3087,0.003724,1153476,6432
388,387,1249,167,0.005155,602176,4644
98,97,407,138,0.020408,38416,1164
431,430,907,176,0.004640,743044,5160
921,920,68404,2952,0.002172,3392964,11040
203,202,1042,203,0.009852,164836,2424
466,465,1058,180,0.004292,868624,5580
696,695,2397,308,0.002874,1937664,8340
122,121,952,244,0.016393,59536,1452
78,77,243,116,0.025641,24336,924
968,967,3087,375,0.002066,3748096,11604
495,494,1062,180,0.004040,980100,5928
384,383,1430,218,0.005208,589824,4596
282,281,9994,1112,0.007092,318096,3372
437,436,14426,1116,0.004577,763876,5232
701,700,1513,216,0.002853,1965604,8400
347,346,4586,442,0.005764,481636,4152
909,908,2978,351,0.002200,3305124,10896
327,326,2380,315,0.006116,427716,3912
130,129,366,135,0.015385,67600,1548
857,856,9538,666,0.002334,2937796,10272
460,459,1499,186,0.004348,846400,5508
708,707,2122,301,0.002825,2005056,8484
590,589,2066,306,0.003390,1392400,7068
800,799,3107,380,0.002500,2560000,9588
469,468,1805,265,0.004264,879844,5616
348,347,1567,191,0.005747,484416,4164
298,297,638,133,0.006711,355216,3564
393,392,1317,192,0.005089,617796,4704
468,467,1510,189,0.004274,876096,5604
172,171,2025,354,0.011628,118336,2052
691,690,1464,193,0.002894,1909924,8280
