Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
867,587633,3548064,7383804,1.565306,3006756,7051596
854,711065,2049871,13089047,1.952236,2917264,8532780
755,350427,2957553,9564427,1.231145,2280100,4205124
13,11,315,501,0.141026,676,132
690,140721,2238295,2937943,0.591998,1904400,1688652
670,120867,2061634,3232226,0.539308,1795600,1450404
21,42,814,1156,0.200000,1764,504
295,16352,386222,410082,0.377078,348100,196224
313,83170,401332,1781460,1.703326,391876,998040
307,22947,471791,428219,0.488535,376996,275364
828,213030,3292568,7491595,0.622207,2742336,2556360
723,264720,2806825,6815008,1.014241,2090916,3176640
292,36612,477371,594825,0.861743,341056,439344
505,55707,1123628,1369254,0.437742,1020100,668484
457,77083,1067391,1008337,0.739788,835396,924996
251,52696,342388,1382365,1.679554,252004,632352
381,60074,866868,940660,0.829866,580644,720888
19,143,614,1850,0.836257,1444,1716
945,506712,5181808,13968267,1.136024,3572100,6080544
690,3268,1218278,181286,0.013748,1904400,39216
636,54678,1598650,1476836,0.270777,1617984,656136
267,31059,398426,541429,0.874630,285156,372708
774,441254,2809826,14783941,1.475021,2396304,5295048
349,97856,550306,2052494,1.611435,487204,1174272
740,314646,2853743,8856878,1.150737,2190400,3775752
98,2468,46988,55163,0.519251,38416,29616
220,1717,153353,65037,0.071274,193600,20604
8,14,252,337,0.500000,256,168
153,21114,92987,388423,1.815789,93636,253368
400,138120,639066,3218307,1.730827,640000,1657440
948,545632,4774857,10810367,1.215546,3594816,6547584
597,222351,1867362,5119475,1.249823,1425636,2668212
300,22713,440280,559782,0.506421,360000,272556
368,78271,800113,1508036,1.159090,541696,939252
76,4807,20409,72397,1.686667,23104,57684
367,94028,683625,1571102,1.400039,538756,1128336
753,394545,2765639,7718832,1.393522,2268036,4734540
778,139647,2761898,2282557,0.462020,2421136,1675764
874,311499,3976152,4412716,0.816509,3055504,3737988
606,188038,2022238,2877107,1.025764,1468944,2256456
740,545672,1222501,8921268,1.995655,2190400,6548064
264,28457,382294,611722,0.819708,278784,341484
822,655666,1927811,10040139,1.943111,2702736,7867992
153,21609,96644,488674,1.858359,93636,259308
18,278,806,3147,1.816993,1296,3336
795,390442,3347202,5255385,1.237083,2528100,4685304
790,266196,3279338,3644673,0.854137,2496400,3194352
509,3169,673247,146810,0.024512,1036324,38028
262,4857,248086,132322,0.142055,274576,58284
955,831101,3262447,9615290,1.824450,3648100,9973212
74,4431,19607,66945,1.640504,21904,53172
561,147807,1694586,2681054,0.940966,1258884,1773684
749,81414,2240616,1292579,0.290634,2244004,976968
342,39788,597067,619978,0.682341,467856,477456
654,286341,2126334,3921981,1.340981,1710864,3436092
519,253443,1059745,5876625,1.885442,1077444,3041316
344,57986,634617,913318,0.982880,473344,695832
882,618166,3561112,8425113,1.591075,3111696,7417992
225,5824,211223,155871,0.231111,202500,69888
143,9084,119052,195232,0.894711,81796,109008
89,2226,34379,41350,0.568437,31684,26712
876,460651,4042611,5619696,1.201960,3069504,5527812
35,659,1989,7382,1.107563,4900,7908
949,385281,4656771,7646330,0.856511,3602404,4623372
89,3418,40439,59837,0.872829,31684,41016
543,141500,1542960,2444764,0.961584,1179396,1698000
623,335571,1539823,8459101,1.731953,1552516,4026852
557,92746,1490670,1475333,0.598956,1240996,1112952
821,432337,3519083,5285998,1.284385,2696164,5188044
692,416483,1898267,8826772,1.741980,1915456,4997796
466,81122,1121647,1274698,0.748738,868624,973464
991,95579,3612735,2055135,0.194842,3928324,1146948
758,412515,2774073,5649266,1.437820,2298256,4950180
862,477876,3963086,5826862,1.287760,2972176,5734512
819,140809,3075856,2284242,0.420362,2683044,1689708
214,35444,281982,630881,1.555175,183184,425328
919,639278,3900284,14154910,1.515520,3378244,7671336
674,43528,1584882,830912,0.191922,1817104,522336
233,38175,273975,838521,1.412424,217156,458100
964,77394,3247328,1626463,0.166738,3717184,928728
637,248179,2082328,7079717,1.225176,1623076,2978148
546,266459,1139918,3005030,1.790900,1192464,3197508
213,32767,240782,554880,1.451280,181476,393204
222,5679,203956,151814,0.231503,197136,68148
666,406215,1592912,4856158,1.834383,1774224,4874580
728,37749,1807343,895443,0.142649,2119936,452988
514,188409,1310909,2633375,1.429062,1056784,2260908
221,10213,223969,224484,0.420115,195364,122556
838,219351,3345206,6333297,0.625461,2808976,2632212
894,62895,2798333,1374929,0.157564,3196944,754740
530,227694,1547640,3743018,1.624239,1123600,2732328
305,73083,439724,1253809,1.576424,372100,876996
994,914122,3586739,14678828,1.852245,3952144,10969464
631,6658,1023644,237580,0.033497,1592644,79896
574,152188,1738472,1917685,0.925431,1317904,1826256
991,913277,3371212,19520348,1.861760,3928324,10959324
912,495960,4453636,6149113,1.193888,3326976,5951520
851,7068,1695515,301661,0.019542,2896804,84816
971,893042,3677399,12625079,1.896317,3771364,10716504
596,317685,1582021,7100405,1.791693,1420864,3812220
65,1157,13265,19402,0.556250,16900,13884
564,61807,1451268,1028556,0.389296,1272384,741684
868,748198,1750196,9202029,1.988418,3013696,8978376
866,147965,3275646,2648643,0.395053,2999824,1775580
319,35951,585563,830234,0.708799,407044,431412
698,240208,2585505,5484583,0.987482,1948816,2882496
102,2754,49264,54947,0.534653,41616,33048
316,51705,565769,677162,1.038879,399424,620460
107,4389,57206,82377,0.773938,45796,52668
118,2828,61688,67795,0.409677,55696,33936
865,336405,4024774,4071660,0.900249,2992900,4036860
205,18520,244461,425302,0.885701,168100,222240
950,149410,3784556,2269834,0.331451,3610000,1792920
268,61088,317876,1314065,1.707418,287296,733056
910,3807,2164224,212050,0.009205,3312400,45684
26,561,1359,6091,1.726154,2704,6732
539,213671,1393842,2745398,1.473685,1162084,2564052
251,1305,202500,59200,0.041594,252004,15660
479,18713,849529,530575,0.163459,917764,224556
559,90306,1562439,1266528,0.579029,1249924,1083672
18,136,644,2644,0.888889,1296,1632
340,99343,503924,1306397,1.723807,462400,1192116
562,25359,1124036,567681,0.160866,1263376,304308
739,501899,1773175,11625449,1.840541,2184484,6022788
475,57966,1098895,823707,0.514910,902500,695592
863,133481,3214481,2381952,0.358865,2979076,1601772
256,3587,236507,107632,0.109896,262144,43044
971,428256,5725899,5858018,0.909374,3771364,5139072
73,2671,21419,42265,1.016362,21316,32052
47,1105,4359,13674,1.022202,8836,13260
685,325839,2517305,6219722,1.390870,1876900,3910068
933,824048,2603595,8986430,1.895330,3481956,9888576
614,70851,1696805,1178990,0.376485,1507984,850212
654,247485,2260749,6369398,1.159012,1710864,2969820
926,828334,2274338,8939439,1.934117,3429904,9940008
809,570818,2636031,6680166,1.746497,2617924,6849816
852,472325,3651093,11741400,1.302872,2903616,5667900
604,142425,1941406,2060506,0.782099,1459264,1709100
999,415683,5407164,5756773,0.833866,3992004,4988196
546,62421,1319747,1107923,0.419538,1192464,749052
492,3050,686903,142833,0.025251,968256,36600
64,444,6006,6810,0.220238,16384,5328
314,82431,429237,1800254,1.677438,394384,989172
621,151207,2049538,2183198,0.785450,1542564,1814484
176,13496,187531,246066,0.876364,123904,161952
13,56,415,827,0.717949,676,672
451,135433,1093150,1744924,1.334644,813604,1625196
799,67454,2510703,1354451,0.211587,2553604,809448
890,274133,3944534,7953620,0.692946,3168400,3289596
181,20689,181845,453874,1.270043,131044,248268
324,55897,610256,727868,1.068245,419904,670764
615,251659,1955180,3113791,1.332904,1512900,3019908
458,108830,1175149,1512373,1.039913,839056,1305960
