Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
1000,999,1337565,54427,0.002,4000000,11988
2000,1999,4796892,56487,0.001,16000000,23988
3000,2999,10835194,113225,0.000667,36000000,35988
4000,3999,18767449,133056,0.0005,64000000,47988
5000,4999,29461806,146227,0.0004,100000000,59988
6000,5999,42316871,253123,0.000333,144000000,71988
7000,6999,57943837,232321,0.000286,196000000,83988
8000,7999,74142251,224315,0.00025,256000000,95988
9000,8999,95066662,272909,0.000222,324000000,107988
10000,9999,119001367,506812,0.0002,400000000,119988
