Threshold,Array Size,Algorithm,Time (ms),Comparisons
5,1000,MergeSort,2,6407
5,1000,HybridMergeSort,0,8757
5,2000,MergeSort,9,14483
5,2000,HybridMergeSort,1,19541
5,3000,MergeSort,2,23161
5,3000,HybridMergeSort,1,31484
5,5000,MergeSort,4,41475
5,5000,HybridMergeSort,1,55718
5,10000,MergeSort,8,92886
5,10000,HybridMergeSort,3,121499
5,20000,MergeSort,32,190153
5,20000,HybridMergeSort,21,263010
5,30000,MergeSort,66,298788
5,30000,HybridMergeSort,6,409849
5,50000,MergeSort,147,511375
5,50000,HybridMergeSort,10,727429
5,100000,MergeSort,365,1141362
5,100000,HybridMergeSort,17,1554168
5,200000,MergeSort,1652,2302802
5,200000,HybridMergeSort,32,3309809
5,300000,MergeSort,3948,3702216
5,300000,HybridMergeSort,47,5112537
5,500000,MergeSort,7627,6336683
5,500000,HybridMergeSort,130,8864194
5,1000000,MergeSort,59624,13508015
5,1000000,HybridMergeSort,178,18728171
10,1000,MergeSort,0,6583
10,1000,HybridMergeSort,1,9093
10,2000,MergeSort,0,13997
10,2000,HybridMergeSort,0,20337
10,3000,MergeSort,0,23505
10,3000,HybridMergeSort,1,31934
10,5000,MergeSort,2,40134
10,5000,HybridMergeSort,1,58450
10,10000,MergeSort,6,87772
10,10000,HybridMergeSort,1,127183
10,20000,MergeSort,8,189460
10,20000,HybridMergeSort,3,274054
10,30000,MergeSort,37,303135
10,30000,HybridMergeSort,4,419776
10,50000,MergeSort,81,521928
10,50000,HybridMergeSort,8,729104
10,100000,MergeSort,259,1086357
10,100000,HybridMergeSort,13,1557520
10,200000,MergeSort,1225,2475829
10,200000,HybridMergeSort,31,3315845
10,300000,MergeSort,2112,3608348
10,300000,HybridMergeSort,42,5257835
10,500000,MergeSort,16064,6264293
10,500000,HybridMergeSort,87,9037170
10,1000000,MergeSort,28349,12917306
10,1000000,HybridMergeSort,186,19072968
15,1000,MergeSort,0,6625
15,1000,HybridMergeSort,0,10445
15,2000,MergeSort,0,14457
15,2000,HybridMergeSort,0,22665
15,3000,MergeSort,1,22743
15,3000,HybridMergeSort,0,33775
15,5000,MergeSort,2,41748
15,5000,HybridMergeSort,1,58377
15,10000,MergeSort,6,88563
15,10000,HybridMergeSort,1,126883
15,20000,MergeSort,14,189139
15,20000,HybridMergeSort,2,274228
15,30000,MergeSort,23,299901
15,30000,HybridMergeSort,6,451528
15,50000,MergeSort,183,492267
15,50000,HybridMergeSort,8,769930
15,100000,MergeSort,605,1093913
15,100000,HybridMergeSort,17,1639357
15,200000,MergeSort,1536,2380303
15,200000,HybridMergeSort,40,3477765
15,300000,MergeSort,5350,3683444
15,300000,HybridMergeSort,52,5258597
15,500000,MergeSort,8269,6505046
15,500000,HybridMergeSort,84,9613200
15,1000000,MergeSort,48652,13766926
15,1000000,HybridMergeSort,170,20222871
20,1000,MergeSort,0,6944
20,1000,HybridMergeSort,0,10379
20,2000,MergeSort,0,13587
20,2000,HybridMergeSort,1,22568
20,3000,MergeSort,0,23707
20,3000,HybridMergeSort,0,33639
20,5000,MergeSort,0,40719
20,5000,HybridMergeSort,1,66753
20,10000,MergeSort,4,84729
20,10000,HybridMergeSort,1,143243
20,20000,MergeSort,17,192253
20,20000,HybridMergeSort,2,307086
20,30000,MergeSort,22,300049
20,30000,HybridMergeSort,3,452117
20,50000,MergeSort,75,505297
20,50000,HybridMergeSort,5,770368
20,100000,MergeSort,336,1147305
20,100000,HybridMergeSort,14,1639068
20,200000,MergeSort,1070,2318633
20,200000,HybridMergeSort,35,3479496
20,300000,MergeSort,5339,3548998
20,300000,HybridMergeSort,45,5709480
20,500000,MergeSort,7055,6538802
20,500000,HybridMergeSort,73,9612706
20,1000000,MergeSort,28654,13351070
20,1000000,HybridMergeSort,155,20223399
25,1000,MergeSort,0,6278
25,1000,HybridMergeSort,0,10300
25,2000,MergeSort,1,14370
25,2000,HybridMergeSort,0,22701
25,3000,MergeSort,1,22958
25,3000,HybridMergeSort,0,40001
25,5000,MergeSort,2,41077
25,5000,HybridMergeSort,1,66774
25,10000,MergeSort,7,86671
25,10000,HybridMergeSort,1,144545
25,20000,MergeSort,19,188147
25,20000,HybridMergeSort,2,306715
25,30000,MergeSort,28,297338
25,30000,HybridMergeSort,4,451711
25,50000,MergeSort,43,514765
25,50000,HybridMergeSort,6,881892
25,100000,MergeSort,368,1113670
25,100000,HybridMergeSort,11,1860275
25,200000,MergeSort,968,2371374
25,200000,HybridMergeSort,33,3923227
25,300000,MergeSort,4771,3716441
25,300000,HybridMergeSort,39,5708803
25,500000,MergeSort,14301,6322572
25,500000,HybridMergeSort,75,9610332
25,1000000,MergeSort,45479,13200050
25,1000000,HybridMergeSort,155,20230089
30,1000,MergeSort,1,6418
30,1000,HybridMergeSort,0,12567
30,2000,MergeSort,0,14543
30,2000,HybridMergeSort,0,27105
30,3000,MergeSort,1,24057
30,3000,HybridMergeSort,0,40124
30,5000,MergeSort,1,39583
30,5000,HybridMergeSort,1,66987
30,10000,MergeSort,3,90371
30,10000,HybridMergeSort,0,143687
30,20000,MergeSort,10,192713
30,20000,HybridMergeSort,2,306421
30,30000,MergeSort,28,291879
30,30000,HybridMergeSort,5,537043
30,50000,MergeSort,124,521754
30,50000,HybridMergeSort,8,879159
30,100000,MergeSort,215,1106484
30,100000,HybridMergeSort,10,1863005
30,200000,MergeSort,2577,2317937
30,200000,HybridMergeSort,27,3923091
30,300000,MergeSort,4732,3597326
30,300000,HybridMergeSort,41,5709277
30,500000,MergeSort,12254,6159667
30,500000,HybridMergeSort,86,11087921
30,1000000,MergeSort,29286,13411434
30,1000000,HybridMergeSort,149,23183438
35,1000,MergeSort,0,6756
35,1000,HybridMergeSort,0,12992
35,2000,MergeSort,0,14069
35,2000,HybridMergeSort,0,29185
35,3000,MergeSort,1,22099
35,3000,HybridMergeSort,0,39847
35,5000,MergeSort,2,39837
35,5000,HybridMergeSort,0,66872
35,10000,MergeSort,5,85347
35,10000,HybridMergeSort,1,143655
35,20000,MergeSort,12,189248
35,20000,HybridMergeSort,2,306948
35,30000,MergeSort,23,303540
35,30000,HybridMergeSort,3,536117
35,50000,MergeSort,136,525735
35,50000,HybridMergeSort,8,881771
35,100000,MergeSort,473,1100310
35,100000,HybridMergeSort,15,1862014
35,200000,MergeSort,1313,2317387
35,200000,HybridMergeSort,34,3922597
35,300000,MergeSort,2826,3657216
35,300000,HybridMergeSort,44,6116845
35,500000,MergeSort,13126,6312091
35,500000,HybridMergeSort,67,11092026
35,1000000,MergeSort,52771,13695977
35,1000000,HybridMergeSort,200,23182040
40,1000,MergeSort,0,5935
40,1000,HybridMergeSort,0,13412
40,2000,MergeSort,0,15054
40,2000,HybridMergeSort,0,28757
40,3000,MergeSort,1,23371
40,3000,HybridMergeSort,1,40200
40,5000,MergeSort,2,42323
40,5000,HybridMergeSort,0,86391
40,10000,MergeSort,5,88980
40,10000,HybridMergeSort,0,183984
40,20000,MergeSort,20,195537
40,20000,HybridMergeSort,3,385643
40,30000,MergeSort,55,300802
40,30000,HybridMergeSort,4,535014
40,50000,MergeSort,141,512439
40,50000,HybridMergeSort,10,880066
40,100000,MergeSort,281,1134449
40,100000,HybridMergeSort,13,1862832
40,200000,MergeSort,2331,2355110
40,200000,HybridMergeSort,29,3922897
40,300000,MergeSort,2611,3510039
40,300000,HybridMergeSort,46,6821140
40,500000,MergeSort,15111,6484447
40,500000,HybridMergeSort,73,11093274
40,1000000,MergeSort,29314,13264971
40,1000000,HybridMergeSort,157,23180001
45,1000,MergeSort,0,6599
45,1000,HybridMergeSort,0,13492
45,2000,MergeSort,1,13922
45,2000,HybridMergeSort,0,28892
45,3000,MergeSort,0,22265
45,3000,HybridMergeSort,1,42224
45,5000,MergeSort,2,39068
45,5000,HybridMergeSort,0,86817
45,10000,MergeSort,5,95062
45,10000,HybridMergeSort,1,183614
45,20000,MergeSort,13,179385
45,20000,HybridMergeSort,3,386461
45,30000,MergeSort,51,296351
45,30000,HybridMergeSort,3,536412
45,50000,MergeSort,94,521011
45,50000,HybridMergeSort,7,880749
45,100000,MergeSort,357,1133090
