Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
1,1000,MergeSort,1,8724,true
1,1000,HybridMergeSort,1,8735,true
1,2000,MergeSort,0,19438,true
1,2000,HybridMergeSort,1,19415,true
1,3000,MergeSort,1,30890,true
1,3000,HybridMergeSort,1,30922,true
1,4000,MergeSort,1,42805,true
1,4000,HybridMergeSort,1,42866,true
1,5000,MergeSort,1,55194,true
1,5000,HybridMergeSort,1,55186,true
1,10000,MergeSort,8,120341,true
1,10000,HybridMergeSort,10,120375,true
1,20000,MergeSort,14,260928,true
1,20000,HybridMergeSort,6,260983,true
1,30000,MergeSort,7,408460,true
1,30000,HybridMergeSort,6,408632,true
1,40000,MergeSort,16,561468,true
1,40000,HybridMergeSort,12,561714,true
1,50000,MergeSort,11,718059,true
1,50000,HybridMergeSort,13,718042,true
1,100000,MergeSort,26,1536588,true
1,100000,HybridMergeSort,26,1536461,true
1,500000,MergeSort,124,8837335,true
1,500000,HybridMergeSort,111,8836960,true
1,1000000,MergeSort,245,18674682,true
1,1000000,HybridMergeSort,172,18673976,true
1,1500000,MergeSort,295,28910855,true
1,1500000,HybridMergeSort,274,28911807,true
1,2000000,MergeSort,413,39347369,true
1,2000000,HybridMergeSort,371,39349464,true
1,2500000,MergeSort,483,50025088,true
1,2500000,HybridMergeSort,471,50025450,true
1,5000000,MergeSort,1014,105049780,true
1,5000000,HybridMergeSort,980,105050578,true
1,7500000,MergeSort,1611,161906861,true
1,7500000,HybridMergeSort,1955,161905060,true
1,10000000,MergeSort,3143,220095177,true
1,10000000,HybridMergeSort,2177,220097535,true
2,1000,MergeSort,0,8695,true
2,1000,HybridMergeSort,0,8700,true
2,2000,MergeSort,0,19410,true
2,2000,HybridMergeSort,0,19405,true
2,3000,MergeSort,1,30972,true
2,3000,HybridMergeSort,0,30941,true
2,4000,MergeSort,0,42799,true
2,4000,HybridMergeSort,1,42758,true
2,5000,MergeSort,1,55308,true
2,5000,HybridMergeSort,1,55209,true
2,10000,MergeSort,2,120478,true
2,10000,HybridMergeSort,1,120539,true
2,20000,MergeSort,3,260789,true
2,20000,HybridMergeSort,4,260859,true
2,30000,MergeSort,6,408713,true
2,30000,HybridMergeSort,4,408630,true
2,40000,MergeSort,6,561569,true
2,40000,HybridMergeSort,6,561570,true
2,50000,MergeSort,8,718203,true
2,50000,HybridMergeSort,8,718120,true
2,100000,MergeSort,18,1536094,true
2,100000,HybridMergeSort,15,1536313,true
2,500000,MergeSort,84,8837395,true
2,500000,HybridMergeSort,87,8837276,true
2,1000000,MergeSort,196,18674972,true
2,1000000,HybridMergeSort,179,18674269,true
2,1500000,MergeSort,293,28909920,true
2,1500000,HybridMergeSort,258,28910281,true
2,2000000,MergeSort,389,39348751,true
2,2000000,HybridMergeSort,373,39347670,true
2,2500000,MergeSort,502,50026111,true
2,2500000,HybridMergeSort,481,50025895,true
2,5000000,MergeSort,1479,105047895,true
2,5000000,HybridMergeSort,1179,105049524,true
2,7500000,MergeSort,1802,161908362,true
2,7500000,HybridMergeSort,1482,161907680,true
2,10000000,MergeSort,2257,220098751,true
2,10000000,HybridMergeSort,1977,220101512,true
3,1000,MergeSort,0,8684,true
3,1000,HybridMergeSort,0,8756,true
3,2000,MergeSort,0,19379,true
3,2000,HybridMergeSort,0,19511,true
3,3000,MergeSort,0,30917,true
3,3000,HybridMergeSort,1,30996,true
3,4000,MergeSort,0,42849,true
3,4000,HybridMergeSort,2,43098,true
3,5000,MergeSort,0,55188,true
3,5000,HybridMergeSort,1,55236,true
3,10000,MergeSort,2,120557,true
3,10000,HybridMergeSort,1,120562,true
3,20000,MergeSort,3,260838,true
3,20000,HybridMergeSort,3,260883,true
3,30000,MergeSort,4,408582,true
3,30000,HybridMergeSort,4,410023,true
3,40000,MergeSort,5,561617,true
3,40000,HybridMergeSort,6,561953,true
3,50000,MergeSort,7,718196,true
3,50000,HybridMergeSort,7,718515,true
